burst,t_s,T_bmp_C,T_mcp_C,phase,n_samples
0,0,31.7987,29.5130,warming,678
1,120,33.2435,30.3265,warming,680
2,240,37.8918,33.4145,warming,678
3,360,42.5086,37.3335,warming,677
4,480,46.2270,41.0895,warming,679
5,600,49.1056,44.3305,warming,675
6,720,50.5777,46.6284,cooling,678
7,840,49.0530,46.6623,cooling,679
8,960,46.8250,45.2196,cooling,678
9,1080,45.0093,43.5765,cooling,678
10,1200,43.2916,41.8653,cooling,676
11,1320,41.8003,40.3698,cooling,677
12,1440,40.5011,38.9424,cooling,677
13,1560,39.3826,37.8255,cooling,675
14,1680,38.4254,36.7984,cooling,676
15,1800,37.7330,36.0418,cooling,105
