burst,t_s,T_bmp_C,T_mcp_C,phase,n_samples
0,0,28.5125,27.6830,warming,678
1,120,30.6376,28.5918,warming,679
2,240,36.6473,32.4270,warming,679
3,360,42.6203,37.5587,warming,677
4,480,47.3052,42.2791,warming,677
5,600,50.8632,46.1513,warming,679
6,720,53.4480,49.1549,cooling,680
7,840,52.6939,50.1233,cooling,680
8,960,50.2810,48.7901,cooling,678
9,1080,47.7902,46.6484,cooling,678
10,1200,45.6268,44.4986,cooling,674
11,1320,43.8902,42.6851,cooling,510
