<<<DUMP-START name=ION-5863FC.log size=363388>>>
00000000-000000
5863FC,65,   33.90,  896.44,    0.00,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,0.000,8
5863FC,65,   33.92,  896.43,    0.00,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,0.000,8
5863FC,65,   33.92,  896.44,    0.00,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,0.000,8
5863FC,65,   33.93,  896.40,  -95.46,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,3475280.000,8
5863FC,65,   33.93,  896.45,   -2.79,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,818317.187,8
5863FC,65,   33.94,  896.44,    0.05,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,742403.937,8
5863FC,65,   33.94,  896.43,    0.14,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,3136979.750,8
5863FC,65,   33.95,  896.45,    0.06,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4643443.000,8
5863FC,65,   33.95,  896.44,   -0.03,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4326973.500,8
5863FC,65,   33.97,  896.45,    0.01,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317931.500,8
5863FC,65,   33.97,  896.45,   -0.04,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317673.000,8
5863FC,65,   33.97,  896.44,   -0.11,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   33.98,  896.44,   -0.14,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   33.98,  896.44,   -0.13,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   33.98,  896.42,   -0.05,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   33.99,  896.44,   -0.04,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   33.99,  896.44,    0.01,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.00,  896.44,    0.04,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.01,  896.45,    0.05,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.02,  896.46,   -0.02,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.02,  896.44,   -0.02,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.44,   -0.14,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.47,   -0.16,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.47,   -0.07,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.47,   -0.08,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.43,   -0.25,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.43,   -0.39,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.43,   -0.23,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.03,  896.43,   -0.02,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,    0.13,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,    0.12,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,    0.04,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,   -0.06,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.05,  896.45,   -0.14,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.05,  896.45,   -0.12,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.05,  896.45,   -0.13,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.05,  896.45,   -0.15,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.44,   -0.17,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.44,   -0.18,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.44,   -0.13,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.44,   -0.06,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,   -0.01,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,   -0.01,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,   -0.04,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.04,  896.45,   -0.08,  896.44, 29.81,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.06,  896.44,   -0.11,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.06,  896.44,   -0.11,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
5863FC,65,   34.06,  896.44,   -0.08,  896.44, 29.87,  0.00,  0.00,  0.00,  0.00,  0.00,   0.00,   0.00,   0.00,4317665.500,8
