
=== ION-C6 Command Mode ===
Data file: /ION-42FEFF63B0E4.log
L = list files | D = dump data | X = delete data | E = exit/restart
>>> Dumping /ION-42FEFF63B0E4.log
00000000-000000
42FEFF63B0E4,0,   30.24,  894.22,   -0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,   -0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.13,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.19,    0.29,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.26,   -0.39,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,   -0.07,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,   -0.06,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.21,    0.12,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,    0.02,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,   -0.05,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.21,    0.03,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,   -0.03,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.21,    0.05,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,   -0.07,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,   -0.03,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.21,    0.06,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,   -0.02,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.22,   -0.06,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.22,    0.01,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.23,   -0.10,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.22,   -0.00,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.21,    0.03,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,   -0.07,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.21,  894.22, 28.94
42FEFF63B0E4,0,   30.26,  894.24,   -0.25,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.22,   -0.06,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.23,   -0.14,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.23,   -0.11,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.23,   -0.09,  894.22, 29.00
42FEFF63B0E4,0,   30.24,  894.22,   -0.04,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.12,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.18,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,   -0.05,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.18,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.13,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.25,   -0.32,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.21,    0.09,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.11,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.13,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.17,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.19,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.15,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,   -0.06,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.08,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.21,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.09,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.21,    0.03,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.16,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.19,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.21,    0.06,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.08,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.19,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.00,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.02,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.20,    0.19,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.13,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.21,    0.11,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.26,  894.23,   -0.14,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.24,   -0.20,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.22,    0.02,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.20,    0.16,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.21,    0.08,  894.22, 29.00
42FEFF63B0E4,0,   30.26,  894.22,   -0.01,  894.22, 29.00
42FEFF63B0E4,0,   30.26,  894.24,   -0.27,  894.22, 29.00
42FEFF63B0E4,0,   30.26,  894.22,   -0.06,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.23,   -0.16,  894.22, 29.00
42FEFF63B0E4,0,   30.25,  894.20,    0.18,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.20,    0.18,  894.22, 28.94
42FEFF63B0E4,0,   30.25,  894.22,   -0.04,  894.22, 28.94
42FEFF63B0E4,0,   30.26,  894.22,   -0.00,  894.22, 28.94
42FEFF63B0E4,0,   30.26,  894.23,   -0.09,  894.22, 29.00
